Start,End,Plate Id
2002-03-01,2002-08-31,02
2003-03-01,2003-08-31,03
2004-03-01,2004-08-31,04
2005-03-01,2005-08-31,05
2006-03-01,2006-08-31,06
2007-03-01,2007-08-31,07
2008-03-01,2008-08-31,08
2009-03-01,2009-08-31,09
2010-03-01,2010-08-31,10
2011-03-01,2011-08-31,11
2012-03-01,2012-08-31,12
2013-03-01,2013-08-31,13
2014-03-01,2014-08-31,14
2015-03-01,2015-08-31,15
2016-03-01,2016-08-31,16
2017-03-01,2017-08-31,17
2018-03-01,2018-08-31,18
2019-03-01,2019-08-31,19
2020-03-01,2020-08-31,20
2021-03-01,2021-08-31,21
2022-03-01,2022-08-31,22
2023-03-01,2023-08-31,23
2024-03-01,2024-08-31,24
2025-03-01,2025-08-31,25
2001-09-01,2002-02-28,51
2002-09-01,2003-02-28,52
2003-09-01,2004-02-29,53
2004-09-01,2005-02-28,54
2005-09-01,2006-02-28,55
2006-09-01,2007-02-28,56
2007-09-01,2008-02-29,57
2008-09-01,2009-02-28,58
2009-09-01,2010-02-28,59
2010-09-01,2011-02-28,60
2011-09-01,2012-02-29,61
2012-09-01,2013-02-28,62
2013-09-01,2014-02-28,63
2014-09-01,2015-02-28,64
2015-09-01,2016-02-29,65
2016-09-01,2017-02-28,66
2017-09-01,2018-02-28,67
2018-09-01,2019-02-28,68
2019-09-01,2020-02-29,69
2020-09-01,2021-02-28,70
2021-09-01,2022-02-28,71
2022-09-01,2023-02-28,72
2023-09-01,2024-02-29,73
2024-09-01,2025-02-28,74
2025-09-01,2026-02-28,75
2026-09-01,2027-02-28,76
2027-09-01,2028-02-29,77
2028-09-01,2029-02-28,78
2029-09-01,2030-02-28,79
2030-09-01,2031-02-28,80
2031-09-01,2032-02-29,81
2032-09-01,2033-02-28,82
2033-09-01,2034-02-28,83
2034-09-01,2035-02-28,84
2035-09-01,2036-02-29,85
2036-09-01,2037-02-28,86
2037-09-01,2038-02-28,87
2038-09-01,2039-02-28,88
2039-09-01,2040-02-29,89
2040-09-01,2041-02-28,90
2041-09-01,2042-02-28,91
2042-09-01,2043-02-28,92
2043-09-01,2044-02-29,93
2044-09-01,2045-02-28,94
2045-09-01,2046-02-28,95
2046-09-01,2047-02-28,96
2047-09-01,2048-02-29,97
2048-09-01,2049-02-28,98
2049-09-01,2050-02-28,99
2050-09-01,2051-02-28,00
2026-03-01,2026-08-31,26
2027-03-01,2027-08-31,27
2028-03-01,2028-08-31,28
2029-03-01,2029-08-31,29
2030-03-01,2030-08-31,30
2031-03-01,2031-08-31,31
2032-03-01,2032-08-31,32
2033-03-01,2033-08-31,33
2034-03-01,2034-08-31,34
2035-03-01,2035-08-31,35
2036-03-01,2036-08-31,36
2037-03-01,2037-08-31,37
2038-03-01,2038-08-31,38
2039-03-01,2039-08-31,39
2040-03-01,2040-08-31,40
2041-03-01,2041-08-31,41
2042-03-01,2042-08-31,42
2043-03-01,2043-08-31,43
2044-03-01,2044-08-31,44
2045-03-01,2045-08-31,45
2046-03-01,2046-08-31,46
2047-03-01,2047-08-31,47
2048-03-01,2048-08-31,48
2049-03-01,2049-08-31,49
2050-03-01,2050-08-31,50